Province_State,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020
AC,76,78,80,87,92,97,105,113,122,135,142,148,161,165,171,181,190,201,207,211,223,237
AL,251,262,280,301,316,337,354,368,385,406,424,443,461,482,506,531,557,582,601,601,640,660
AP,142,151,157,162,163,168,173,183,198,207,215,222,228,237,247,254,260,269,272,278,285,289
AM,1561,1620,1669,1744,1758,1781,1852,1891,1964,2011,2047,2052,2071,2102,2138,2183,2199,2232,2250,2271,2315,2363
BA,362,376,399,413,460,477,495,531,570,609,638,667,701,736,762,790,819,846,879,910,937,975
CE,1900,2161,2251,2308,2324,2493,2603,2671,2733,2859,2956,3010,3188,3421,3605,3813,3890,3965,3982,4120,4309,4480
DF,77,84,90,95,104,114,124,133,142,154,162,170,171,177,191,196,202,208,214,214,236,256
ES,341,363,397,417,446,465,487,511,538,560,583,604,614,664,698,737,780,806,832,871,904,936
GO,78,85,93,95,95,96,104,108,115,119,122,124,127,151,155,164,167,172,173,173,180,188
MA,634,663,693,722,754,784,817,853,887,911,932,955,976,997,1028,1062,1095,1132,1170,1247,1285,1322
MT,32,34,37,37,40,41,43,46,51,56,57,61,66,70,76,82,88,96,109,116,135,146
MS,17,17,17,17,17,17,17,18,18,18,19,20,20,20,20,20,21,21,21,22,22,24
MG,177,191,201,217,226,230,234,240,255,257,263,271,278,289,306,323,344,368,376,380,399,409
PA,1633,1852,1937,2001,2148,2372,2469,2545,2704,2827,2900,2923,2925,3040,3193,3416,3538,3612,3678,3772,3853,3927
PB,230,245,248,258,272,279,286,298,318,327,347,360,370,379,414,438,451,467,484,507,534,559
PR,137,141,146,150,153,156,159,162,169,173,181,182,190,199,205,215,227,232,237,243,253,275
PE,1834,1925,2057,2144,2200,2248,2328,2468,2566,2669,2740,2807,2875,2933,3012,3134,3205,3270,3305,3350,3453,3531
PI,87,91,93,99,107,110,119,134,138,146,157,161,168,180,192,202,217,224,239,254,265,283
RN,170,178,181,184,200,209,220,242,254,268,305,305,323,341,367,378,387,410,424,431,459,487
RS,161,166,172,176,180,197,203,209,213,213,218,224,232,245,258,265,276,283,286,291,301,316
RJ,3237,3412,3657,3905,3993,4105,4361,4605,4856,5079,5277,5344,5462,5686,6010,6327,6473,6639,6707,6781,6928,7138
RO,90,101,106,115,121,121,133,137,142,145,151,156,159,172,180,194,213,228,235,245,255,267
RR,64,72,83,81,84,86,102,102,102,108,110,116,116,120,124,127,139,139,142,145,168,182
SC,94,98,100,103,105,109,121,126,131,134,136,143,146,148,152,156,159,166,171,171,179,184
SP,5363,5558,5773,6045,6163,6220,6423,6712,6980,7275,7532,7615,7667,7994,8276,8560,8842,9058,9145,9188,9522,9862
SE,69,76,82,86,93,103,116,127,135,142,149,158,166,172,180,186,198,208,217,234,252,264
TO,42,47,49,51,52,58,64,65,68,70,71,73,76,79,82,87,89,96,99,108,114,120
